epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3162,4.43841,31.2873,4.20317,0.00741,0.072,0.00362,0.00146,4.92483,116.581,6.08212,0.00064,0.00064,0.00064
2,70.4431,4.32478,7.16105,4.10434,0.00106,0.12533,0.00061,0.00018,8.71435,inf,174.487,0.00128713,0.00128713,0.00128713
3,86.4635,4.63847,6.57621,4.41005,0.002,0.016,0.00084,0.00028,nan,nan,nan,0.00192119,0.00192119,0.00192119
4,102.75,4.37731,6.36163,4.24313,0.0011,0.13067,0.00064,0.00022,6.59807,inf,15.5502,0.0019406,0.0019406,0.0019406
5,118.608,4.18041,6.0241,4.04905,0.16816,0.07733,0.03482,0.0119,6.41226,13.1151,7.58112,0.0019208,0.0019208,0.0019208
6,136.904,4.17553,5.831,4.0279,0.22609,0.184,0.10606,0.03651,5.09541,7.07169,5.47382,0.001901,0.001901,0.001901
7,152.618,4.09702,5.89021,4.00644,0.03138,0.056,0.01474,0.00405,5.18112,8.17487,5.74473,0.0018812,0.0018812,0.0018812
8,168.451,3.98557,5.67302,3.89871,0.16738,0.26133,0.09526,0.03244,4.32152,6.61322,4.41857,0.0018614,0.0018614,0.0018614
9,184.039,4.00663,5.86524,3.90346,0.22241,0.30933,0.17655,0.06625,4.28348,6.7904,4.44378,0.0018416,0.0018416,0.0018416
10,199.697,3.80391,5.6323,3.71869,0.19228,0.27733,0.13464,0.05079,4.33286,6.00161,4.11232,0.0018218,0.0018218,0.0018218
11,215.13,3.83882,5.49636,3.7222,0.22076,0.34667,0.17038,0.06044,3.88085,5.32348,3.74539,0.001802,0.001802,0.001802
12,230.49,3.83312,5.60122,3.77176,0.28591,0.28267,0.20502,0.07786,3.93975,4.93389,3.89175,0.0017822,0.0017822,0.0017822
13,246.125,3.71503,5.51341,3.71685,0.25511,0.25333,0.15791,0.053,4.00535,5.90857,4.16179,0.0017624,0.0017624,0.0017624
14,262.112,3.71667,5.38577,3.67751,0.22762,0.22933,0.11821,0.03993,4.22262,6.7961,4.35118,0.0017426,0.0017426,0.0017426
15,278.037,3.62474,5.38604,3.60808,0.21094,0.09333,0.05077,0.01711,4.85766,8.52688,5.28129,0.0017228,0.0017228,0.0017228
16,294.113,3.65404,5.20267,3.5536,0.29927,0.36533,0.23561,0.08629,3.87251,5.02288,3.72166,0.001703,0.001703,0.001703
17,309.87,3.69257,5.19089,3.62633,0.31232,0.28,0.20481,0.07785,4.04634,5.18703,3.96097,0.0016832,0.0016832,0.0016832
18,326.37,3.6479,5.26708,3.60975,0.34149,0.30667,0.2535,0.09652,3.79302,4.90935,3.72216,0.0016634,0.0016634,0.0016634
19,344.032,3.6879,5.21243,3.62805,0.31898,0.30667,0.22445,0.08368,4.11625,4.99668,3.95549,0.0016436,0.0016436,0.0016436
20,359.327,3.61564,5.29446,3.63578,0.28342,0.19733,0.1542,0.04763,4.32852,5.7004,4.38388,0.0016238,0.0016238,0.0016238
21,375.239,3.63067,5.26022,3.60936,0.39288,0.34667,0.2912,0.11198,3.7934,4.7533,3.64127,0.001604,0.001604,0.001604
22,391.408,3.62761,5.16686,3.52884,0.38336,0.33067,0.29293,0.11086,3.80276,4.68109,3.62832,0.0015842,0.0015842,0.0015842
23,407.165,3.48016,5.15749,3.43005,0.32937,0.30133,0.21103,0.08215,4.04984,5.28735,3.98041,0.0015644,0.0015644,0.0015644
24,422.792,3.57257,5.03822,3.51196,0.38348,0.272,0.23848,0.09134,3.83899,5.2158,3.89804,0.0015446,0.0015446,0.0015446
25,438.334,3.54443,4.91683,3.49431,0.23868,0.24533,0.17279,0.06133,4.13062,5.69473,3.96881,0.0015248,0.0015248,0.0015248
26,453.954,3.51205,5.00749,3.50224,0.33778,0.272,0.23063,0.08903,3.86364,5.07542,3.88295,0.001505,0.001505,0.001505
27,469.578,3.51418,4.96448,3.4641,0.46196,0.32533,0.3427,0.13509,3.65111,4.53345,3.47175,0.0014852,0.0014852,0.0014852
28,485.267,3.49183,5.00514,3.46115,0.26777,0.256,0.17394,0.06282,3.81585,5.38942,3.82629,0.0014654,0.0014654,0.0014654
29,501.265,3.49628,4.93219,3.43101,0.29468,0.28967,0.21433,0.08738,3.84259,5.23443,3.75819,0.0014456,0.0014456,0.0014456
30,517.223,3.47591,4.89365,3.43791,0.37269,0.38023,0.28901,0.11843,3.63278,4.42077,3.46913,0.0014258,0.0014258,0.0014258
31,533.37,3.44781,4.89349,3.36659,0.39508,0.4145,0.31305,0.12715,3.51762,4.32904,3.35999,0.001406,0.001406,0.001406
32,551.846,3.55834,4.86977,3.45619,0.32957,0.42667,0.29192,0.11899,3.56737,4.50467,3.42984,0.0013862,0.0013862,0.0013862
33,567.931,3.38413,4.74915,3.34414,0.32677,0.336,0.25974,0.09925,3.7107,4.7779,3.58978,0.0013664,0.0013664,0.0013664
34,583.676,3.3987,4.7474,3.33641,0.2885,0.30933,0.21361,0.07688,4.12658,5.02593,4.04358,0.0013466,0.0013466,0.0013466
35,599.836,3.42467,4.76565,3.41297,0.36664,0.39828,0.29323,0.12064,3.49864,4.29679,3.41297,0.0013268,0.0013268,0.0013268
36,616.11,3.32517,4.6736,3.31196,0.40571,0.40267,0.31859,0.12242,3.51401,4.36578,3.38068,0.001307,0.001307,0.001307
37,632.374,3.34652,4.70887,3.28218,0.41257,0.37867,0.33035,0.13269,3.59191,4.37261,3.47318,0.0012872,0.0012872,0.0012872
38,648.297,3.4034,4.71287,3.30834,0.33693,0.38133,0.26572,0.11176,3.73738,4.47548,3.62197,0.0012674,0.0012674,0.0012674
39,664.191,3.40516,4.78814,3.3943,0.35203,0.34667,0.2671,0.10084,3.69635,4.54715,3.60297,0.0012476,0.0012476,0.0012476
40,679.72,3.33771,4.57159,3.31523,0.39464,0.376,0.32439,0.12694,3.6114,4.54336,3.47755,0.0012278,0.0012278,0.0012278
41,695.093,3.31367,4.58324,3.28324,0.40817,0.40278,0.34376,0.13681,3.64722,4.35465,3.4794,0.001208,0.001208,0.001208
42,710.776,3.34305,4.56492,3.29371,0.37104,0.38385,0.30778,0.12637,3.66089,4.30997,3.46173,0.0011882,0.0011882,0.0011882
43,726.354,3.3302,4.69947,3.31926,0.40955,0.42133,0.33419,0.13025,3.66016,4.27319,3.48479,0.0011684,0.0011684,0.0011684
